r_id,rm_name,amount
1,bread,3660.0
1,garlic,180.0
1,potatoes,825.0
1,cola_syrup,1600.0
1,mint,850.0
1,pineapple,170.0
1,quinoa,7700.0
1,apple,170.0
1,wine_red,3200.0
1,orange,2250.0
1,chicken_breast,4530.0
1,onion,910.0
1,lasagna_pasta,440.0
1,tuna,1320.0
1,tomato,2280.0
1,basil,120.0
1,mozzarella,480.0
1,lettuce,720.0
1,cucumber,540.0
1,feta_cheese,360.0
1,chickpeas,7000.0
1,carbonated_water,3400.0
1,chocolate,250.0
1,vanilla,25.0
1,flour,500.0
1,sugar,730.0
1,eggs,42.0
1,sugar_syrup,150.0
1,sweet_potato,1200.0
1,ham,300.0
1,cheddar_cheese,1440.0
1,coffee_beans,40.0
1,tea_green,300.0
1,beer_lager,70.0
1,wine_white,250.0
1,lime,400.0
