r_id,rm_id,movement_amount,movement_type
1,1,2040.0,stock_out
1,2,410.0,stock_out
1,23,735.0,stock_out
1,20,1920.0,stock_out
1,21,780.0,stock_out
1,36,2250.0,stock_out
1,35,4450.0,stock_out
1,34,3000.0,stock_out
1,33,5400.0,stock_out
1,6,6360.0,stock_out
1,25,2340.0,stock_out
1,8,2480.0,stock_out
1,37,320.0,stock_out
1,47,900.0,stock_out
1,45,100.0,stock_out
1,44,20.0,stock_out
1,43,40.0,stock_out
1,31,5000.0,stock_out
1,10,700.0,stock_out
1,11,85.0,stock_out
1,12,1400.0,stock_out
1,13,1080.0,stock_out
1,14,61.0,stock_out
1,22,2820.0,stock_out
1,7,1200.0,stock_out
1,9,200.0,stock_out
1,5,580.0,stock_out
1,15,160.0,stock_out
1,18,120.0,stock_out
1,19,80.0,stock_out
1,3,880.0,stock_out
1,39,10.0,stock_out
1,26,600.0,stock_out
1,48,250.0,stock_out
1,32,1200.0,stock_out
